Date,Value,Type
3/28/2023,46,PM2.5
3/29/2023,35,PM2.5
3/30/2023,53,PM2.5
3/31/2023,48,PM2.5
4/1/2023,36,PM2.5
4/2/2023,20,PM2.5
4/3/2023,49,PM2.5
4/4/2023,61,PM2.5
4/5/2023,49,PM2.5
4/6/2023,52,PM2.5
4/7/2023,40,PM2.5
4/8/2023,7,PM2.5
4/9/2023,19,PM2.5
4/10/2023,24,PM2.5
4/11/2023,35,PM2.5
4/12/2023,56,PM2.5
4/13/2023,40,PM2.5
4/14/2023,35,PM2.5
4/15/2023,53,PM2.5
4/16/2023,33,PM2.5
4/17/2023,26,PM2.5
4/18/2023,39,PM2.5
4/19/2023,54,PM2.5
4/20/2023,58,PM2.5
4/21/2023,53,PM2.5
4/22/2023,30,PM2.5
4/23/2023,30,PM2.5
4/24/2023,28,PM2.5
4/25/2023,66,PM2.5
4/26/2023,51,PM2.5
4/27/2023,32,PM2.5
4/28/2023,33,PM2.5
4/29/2023,43,PM2.5
4/30/2023,25,PM2.5
5/1/2023,21,PM2.5
5/2/2023,20,PM2.5
5/3/2023,19,PM2.5
5/4/2023,21,PM2.5
5/5/2023,35,PM2.5
5/6/2023,38,PM2.5
5/7/2023,40,PM2.5
5/8/2023,42,PM2.5
5/9/2023,56,PM2.5
5/10/2023,42,PM2.5
5/11/2023,52,PM2.5
5/12/2023,47,PM2.5
5/13/2023,43,PM2.5
5/14/2023,49,PM2.5
5/15/2023,44,PM2.5
5/16/2023,46,PM2.5
5/17/2023,38,PM2.5
5/18/2023,31,PM2.5
5/19/2023,35,PM2.5
5/20/2023,26,PM2.5
5/21/2023,22,PM2.5
5/22/2023,59,PM2.5
5/23/2023,65,PM2.5
5/24/2023,65,PM2.5
5/25/2023,58,PM2.5
5/26/2023,56,PM2.5
5/27/2023,23,PM2.5
5/28/2023,18,PM2.5
5/29/2023,26,PM2.5
5/30/2023,26,PM2.5
5/31/2023,41,PM2.5
6/1/2023,38,PM2.5
6/2/2023,41,PM2.5
6/3/2023,56,PM2.5
6/4/2023,56,PM2.5
6/5/2023,64,PM2.5
6/6/2023,62,PM2.5
6/7/2023,70,PM2.5
6/8/2023,74,PM2.5
6/9/2023,82,PM2.5
6/10/2023,81,PM2.5
6/11/2023,62,PM2.5
6/12/2023,37,PM2.5
6/13/2023,54,PM2.5
6/14/2023,30,PM2.5
6/15/2023,29,PM2.5
6/16/2023,41,PM2.5
6/17/2023,60,PM2.5
6/18/2023,79,PM2.5
6/19/2023,33,PM2.5
6/20/2023,35,PM2.5
6/21/2023,18,PM2.5
6/22/2023,18,PM2.5
6/23/2023,35,PM2.5
